,citynamelist,country,latitude,longitude,temperature,humidity,cloudiness,windspeed,maxtemp
283,Hasaki,JP,35.7333,140.8333,59.4,78,98,13.94,59.4
284,Brooks,CA,50.5834,-111.8851,44.46,86,100,29.93,46.02
285,Huai'an,CN,33.5886,119.0192,60.44,69,82,4.12,60.44
286,Meulaboh,ID,4.1363,96.1285,76.89,90,98,4.34,76.89
287,Muravlenko,RU,63.7898,74.523,51.37,90,100,10.8,51.37
288,Kushmurun,KZ,52.4503,64.6311,53.53,71,86,15.48,53.53
289,Carnarvon,AU,-24.8667,113.6333,68.63,63,55,13.4,68.63
290,Mareeba,AU,-17.0,145.4333,69.4,92,32,2.42,69.44
291,Umm Hājar,TD,13.2954,19.6966,93.31,22,52,2.73,93.31
292,Mnogovershinnyy,RU,53.9353,139.9242,32.65,86,88,4.43,32.65
293,Comodoro Rivadavia,AR,-45.8667,-67.5,48.06,81,20,6.91,48.06
294,Cockburn Town,TC,21.4612,-71.1419,82.36,78,75,8.05,82.36
295,Storsteinnes,NO,69.2408,19.2344,45.25,90,98,4.05,45.25
296,Erdenet,MN,49.0333,104.0833,54.86,43,10,3.51,54.86
297,Atkarsk,RU,51.8718,45.0078,47.48,77,98,6.76,47.48
298,Manokwari,ID,-0.8667,134.0833,78.78,81,100,4.14,78.78
299,Katsuura,JP,35.1333,140.3,66.61,80,100,12.15,66.61
300,Liverpool,GB,53.4106,-2.9779,57.0,64,20,8.05,59.54
301,Kearney,US,40.6995,-99.0815,90.16,22,0,16.11,91.56
302,Mandan,US,46.8267,-100.8896,47.43,89,0,9.22,49.37
303,Monrovia,LR,6.3005,-10.7969,79.79,82,88,6.69,79.79
304,Sangamner,IN,19.5667,74.2167,78.84,70,92,10.69,78.84
305,Birao,CF,10.2849,22.7882,83.52,54,85,4.47,83.52
306,Soyo,AO,-6.1349,12.3689,77.23,85,3,10.58,77.23
307,Griffith,US,41.5284,-87.4237,84.92,43,40,18.41,87.12
308,Deputatsky,RU,69.3,139.9,26.94,96,100,3.8,26.94
309,Shuya,RU,56.8487,41.3883,35.55,91,59,6.62,35.55
310,Gamboma,CG,-1.8764,15.8644,74.75,89,98,2.57,74.75
311,Husavik,IS,66.0449,-17.3389,49.39,72,37,13.22,49.39
312,Bambous Virieux,MU,-20.3428,57.7575,73.65,83,40,5.75,73.65
313,Nanortalik,GL,60.1432,-45.2371,38.26,63,8,10.56,38.26
314,Aklavik,CA,68.2191,-135.0107,37.4,65,75,3.44,37.4
315,Poum,NC,-20.2333,164.0167,77.86,76,3,8.57,77.86
316,Kiryat Gat,IL,31.61,34.7642,68.43,51,0,5.57,76.41
317,Nabire,ID,-3.3667,135.4833,75.06,93,100,2.3,75.06
318,Homer,US,59.6425,-151.5483,57.36,44,0,9.22,63.03
319,Kaeo,NZ,-35.1,173.7833,56.32,98,98,13.04,56.32
320,Cidreira,BR,-30.1811,-50.2056,58.98,82,33,10.76,58.98
321,Ulaangom,MN,49.9811,92.0667,60.21,30,3,1.74,60.21
322,Uva,RU,56.9908,52.1852,34.0,91,68,2.93,34.0
323,Surab,PK,28.4914,66.2585,72.77,13,0,7.78,72.77
324,Dharapuram,IN,10.7333,77.5167,75.38,76,92,14.14,75.38
325,Bubaque,GW,11.2833,-15.8333,78.94,83,67,23.64,78.94
326,Qui Nhon,VN,13.7667,109.2333,77.36,91,100,5.91,77.36
327,Bay Roberts,CA,47.5999,-53.2648,53.53,69,73,14.61,55.15
328,Chapais,CA,49.7834,-74.8492,55.18,69,100,6.42,55.18
329,Lompoc,US,34.6391,-120.4579,68.4,65,0,14.97,84.69
330,Tura,IN,25.5198,90.2201,67.84,98,98,2.68,67.84
331,Srednekolymsk,RU,67.45,153.6833,51.46,43,85,11.5,51.46
332,Nemuro,JP,43.3236,145.575,46.98,95,86,13.09,46.98
333,Zyryanovsk,KZ,49.7386,84.2719,54.9,91,16,1.12,54.9
334,Guerrero Negro,MX,27.9769,-114.0611,69.62,52,1,13.2,69.62
335,Anadyr,RU,64.75,177.4833,41.0,80,97,6.71,41.5
336,Souris,CA,49.6172,-100.2612,48.06,92,100,7.7,51.75
337,High Level,CA,58.5169,-117.136,51.91,40,75,18.41,51.91
338,San Jerónimo,PE,-11.9472,-75.2829,60.57,53,86,9.28,60.57
339,Russellville,US,35.2784,-93.1338,88.34,48,0,11.5,92.17
340,Flinders,AU,-34.5833,150.8552,55.99,68,99,5.99,56.17
341,Rosário Oeste,BR,-14.8361,-56.4275,64.45,48,70,4.12,64.45
342,Semey,KZ,50.4111,80.2275,63.27,52,85,9.37,63.27
343,Pimentel,PE,-6.8367,-79.9342,75.49,53,0,23.02,75.49
344,Mitsamiouli,KM,-11.3847,43.2844,79.18,73,70,11.25,79.18
345,Cândido Mendes,BR,-1.4467,-45.7167,77.11,93,90,3.02,77.11
346,Chiredzi,ZW,-21.05,31.6667,68.31,63,63,4.41,68.31
347,Joniškėlis,LT,56.0253,24.1689,54.93,93,100,5.86,54.93
348,Erbil,IQ,36.1926,44.0106,80.42,24,0,8.05,80.42
349,Praia,CV,14.9215,-23.5087,75.74,69,0,12.66,75.74
350,Muskogee,US,35.5834,-95.3336,86.9,64,0,16.11,89.96
351,Muros,ES,42.7762,-9.0603,62.83,75,100,6.64,62.83
352,Dāmghān,IR,36.1683,54.348,70.09,39,0,1.36,70.09
353,Talnakh,RU,69.4865,88.3972,33.21,88,82,5.53,33.21
354,Enshi,CN,30.3,109.4833,59.41,95,98,0.92,59.41
355,Changying,CN,52.8733,123.3213,50.11,84,2,5.7,50.11
356,Baturaja,ID,-4.1333,104.1667,72.59,95,98,2.37,72.59
357,Honiara,SB,-9.4333,159.95,79.74,81,1,1.68,79.74
358,Phan Thiet,VN,10.9333,108.1,76.33,84,100,4.63,76.33
359,Chulumani,BO,-16.4096,-67.5263,69.46,52,100,4.61,69.46
360,Arlit,NE,18.7369,7.3853,85.19,31,94,13.8,85.19
361,Lorengau,PG,-2.0226,147.2712,81.61,79,24,3.83,81.61
362,Garh Maharaja,PK,30.8339,71.9053,95.09,9,0,11.5,95.09
363,Urdoma,RU,61.7533,48.5442,31.48,89,24,4.94,31.48
364,Great Bend,US,38.3645,-98.7648,93.04,31,0,25.32,93.04
365,Aktas,KZ,49.7789,72.9608,35.35,46,28,6.8,35.35
366,City of San Pedro,PH,14.35,121.0167,77.47,91,75,3.44,78.03
367,Mindelo,CV,16.8901,-24.9804,72.95,73,40,24.16,72.95
368,Neiafu,TO,-18.65,-173.9833,77.68,83,75,10.36,77.68
369,Morondava,MG,-20.2833,44.2833,73.89,74,3,7.18,73.89
370,Ubari,LY,26.5921,12.7805,81.64,16,0,9.89,81.64
371,Ouésso,CG,1.6136,16.0517,75.45,83,99,2.68,75.45
372,Sabang,ID,5.8933,95.3214,83.05,77,100,13.31,83.05
373,Vardø,NO,70.3705,31.1107,35.58,64,100,4.61,35.58
374,Bodden Town,KY,19.2833,-81.25,86.79,77,40,13.8,86.99
375,Denpasar,ID,-8.65,115.2167,79.72,94,75,4.61,80.26
376,Iracoubo,GF,5.4802,-53.2011,78.24,85,39,5.88,78.24
377,Marystown,CA,47.1666,-55.1483,47.86,100,9,13.0,47.86
378,Kamaishi,JP,39.2667,141.8833,58.57,77,94,6.26,58.57
379,Riyadh,SA,24.6877,46.7219,91.54,12,0,8.7,91.54
380,Banbury,GB,52.0602,-1.3403,57.99,87,67,4.81,60.44
381,Goundam,ML,16.4145,-3.6708,95.02,17,44,5.12,95.02
382,Copiapó,CL,-27.3667,-70.3333,58.69,42,1,4.0,58.69
383,Mount Gambier,AU,-37.8333,140.7667,45.99,84,12,5.44,45.99
384,Santa Cruz de la Sierra,BO,-17.8,-63.1667,68.05,37,72,4.61,69.26
385,Gangāpur,IN,26.4833,76.7167,92.88,13,0,5.14,92.88
386,Sørland,NO,67.667,12.6934,44.46,82,35,8.16,44.46
387,Sosnovo-Ozerskoye,RU,52.5249,111.5418,49.14,67,55,6.53,49.14
388,Tamalameque,CO,8.8522,-73.8123,90.82,59,40,4.23,90.82
389,Tevriz,RU,57.509,72.4042,47.34,88,66,10.51,47.34
390,Isiro,CD,2.7739,27.616,66.88,99,98,1.7,66.88
391,Mossamedes,AO,-15.1961,12.1522,67.55,80,14,8.46,67.55
392,Plastun,RU,44.7561,136.2939,54.99,79,33,5.08,54.99
393,Vágur,FO,61.4732,-6.8119,48.51,94,100,21.88,48.51
394,Röszke,HU,46.188,20.0337,56.57,55,5,7.52,56.57
395,Abu Samrah,SY,35.3029,37.1841,66.78,53,0,6.42,66.78
396,Merauke,ID,-8.4667,140.3333,77.77,83,8,11.39,77.77
397,Port Hedland,AU,-20.3167,118.5667,68.05,100,0,3.44,68.05
398,Harlingen,US,26.1906,-97.6961,90.32,36,13,19.75,92.05
399,Half Moon Bay,US,37.4636,-122.4286,64.83,60,0,34.52,85.87
400,Tabou,CI,4.423,-7.3528,79.23,86,100,7.87,79.23
401,Catemaco,MX,18.4167,-95.1167,97.45,30,71,7.7,97.45
402,Shakiso,ET,5.75,38.9167,57.2,98,24,0.51,57.2
403,Kloulklubed,PW,7.0419,134.2556,75.7,79,100,16.15,75.7
404,Gimli,CA,50.6336,-96.9907,44.62,49,100,10.36,44.62
405,Beringovskiy,RU,63.05,179.3167,35.89,89,100,3.65,35.89
406,Cherskiy,RU,68.75,161.3,50.09,63,42,10.51,50.09
407,Polunochnoye,RU,60.8697,60.4153,32.34,100,100,5.19,32.34
408,Iwanai,JP,42.9744,140.5089,55.31,92,86,3.2,55.31
409,Bandarbeyla,SO,9.4942,50.8122,81.73,78,91,16.58,81.73
410,Miraflores,MX,19.2167,-98.8083,82.99,21,61,3.69,83.05
411,Dingle,PH,10.9995,122.6711,77.7,87,51,4.27,77.7
412,eMkhomazi,ZA,-30.2067,30.7978,67.68,71,6,6.98,67.68
413,Hambantota,LK,6.1241,81.1185,78.98,86,79,15.14,78.98
414,Maţāy,EG,28.419,30.7792,81.84,19,77,9.98,81.84
415,Babushkin,RU,51.7122,105.8647,54.21,54,14,6.04,54.21
416,Leningradskiy,RU,69.3833,178.4167,34.3,94,97,3.06,34.3
417,Igrim,RU,63.1906,64.4162,38.95,89,100,11.43,38.95
418,Ulladulla,AU,-35.35,150.4667,53.89,73,100,9.1,53.89
419,Nishihara,JP,26.1842,127.7558,73.9,97,100,14.97,74.48
420,St. George's,GD,12.0564,-61.7485,87.48,62,20,16.11,87.48
421,Isangel,VU,-19.55,169.2667,76.75,92,100,17.58,76.75
422,Yulara,AU,-25.2406,130.9889,51.13,77,5,8.52,51.13
423,Buraidah,SA,26.326,43.975,91.85,10,0,8.79,91.85
424,Westport,US,41.1415,-73.3579,58.6,88,100,5.75,64.29
425,Bundibugyo,UG,0.7414,30.0417,69.91,73,71,3.56,69.91
426,Casino,AU,-28.8667,153.05,58.57,85,100,4.94,58.57
427,Lambaréné,GA,-0.7001,10.2406,74.41,97,100,2.24,74.41
428,Kuytun,RU,54.3419,101.5036,54.9,79,95,3.98,54.9
429,Omboué,GA,-1.5746,9.2618,76.5,91,98,4.29,76.5
430,Marabu,MY,4.4148,114.0089,77.14,83,40,4.61,77.14
431,Popova,RU,42.9603,131.7228,48.36,95,51,5.84,48.36
432,Alekseyevsk,RU,57.8406,108.3492,47.89,78,46,2.44,47.89
433,Alta Floresta,BR,-9.8756,-56.0861,76.82,41,0,3.44,76.82
434,Sănduleşti,RO,46.5833,23.7167,51.84,76,36,3.62,51.84
435,Makrāna,IN,27.05,74.7167,89.35,19,0,10.58,89.35
436,Póvoa de Lanhoso,PT,41.5787,-8.282,63.88,68,100,1.7,66.15
437,Vanimo,PG,-2.6741,141.3028,77.79,88,85,2.98,77.79
438,Sosnovoborsk,RU,56.1325,93.3589,63.01,67,70,9.46,63.01
439,Batagay-Alyta,RU,67.8006,130.4114,30.47,96,92,3.33,30.47
440,Bontang,ID,0.1333,117.5,79.92,82,97,1.74,79.92
441,Kieta,PG,-6.2167,155.6333,80.33,80,2,2.48,80.33
442,Sitka,US,57.0531,-135.33,53.49,71,20,6.91,53.49
443,Falkenberg,SE,56.9055,12.4912,56.46,91,100,6.71,57.34
444,Dodoma,TZ,-6.1722,35.7395,67.91,73,20,11.5,67.91
445,Inhambane,MZ,-23.865,35.3833,71.1,85,71,6.33,71.1
446,Taltal,CL,-25.4,-70.4833,63.45,71,4,5.17,63.45
447,Kardamena,GR,36.7814,27.1425,63.88,59,20,18.41,63.88
448,Forsytheganj,BY,52.6333,29.7333,51.55,87,99,7.38,51.55
449,Kumul,CN,42.8,93.45,73.36,17,1,12.19,73.36
450,Yangon,MM,16.8053,96.1561,78.76,94,75,3.44,78.76
451,Ponta Delgada,PT,37.7333,-25.6667,61.52,77,75,12.66,63.5
452,Nizhniy Kuranakh,RU,58.8353,125.4869,43.7,96,100,7.47,43.7
453,Şile,TR,41.1754,29.6133,52.57,66,0,4.7,52.57
454,Taoudenni,ML,22.6783,-3.9836,99.03,7,61,6.73,99.03
455,Musoma,TZ,-1.5,33.8,75.22,78,20,0.0,75.22
456,Talaya,RU,61.3833,152.75,33.21,94,100,3.04,33.21
457,Etchoropo,MX,26.7667,-109.6667,92.41,50,0,15.41,92.41
458,Tarakan,ID,3.3,117.6333,79.41,84,93,3.62,79.41
459,Jinka,ET,5.65,36.65,66.88,63,45,2.06,66.88
460,Cairns,AU,-16.9167,145.7667,72.73,90,75,11.5,74.07
461,Muhafazat Lahij,YE,13.1667,44.5833,87.04,34,5,4.29,87.04
462,Port Hardy,CA,50.6996,-127.4199,51.98,62,75,14.97,51.98
463,Antalaha,MG,-14.9003,50.2788,69.89,83,50,7.45,69.89
464,Ambulu,ID,-8.345,113.6058,75.4,89,73,2.89,75.4
465,Arrondissement de Figeac,FR,44.75,1.9167,70.75,53,10,7.45,71.1
466,Umm Kaddadah,SD,13.6017,26.6876,87.12,12,6,12.62,87.12
467,Kahului,US,20.8947,-156.47,87.82,48,20,12.66,87.82
468,Madoc,CA,44.5084,-77.4745,55.42,87,100,5.21,57.78
469,Gamba,GA,-2.65,10.0,76.08,89,89,3.65,76.08
470,Chanute,US,37.6792,-95.4572,78.91,69,0,6.91,83.44
471,Aksarka,RU,66.5606,67.7975,33.71,95,100,22.57,33.71
472,Yūbari,JP,43.0378,141.9578,51.08,85,76,4.29,55.92
473,Caraquet,CA,47.7941,-64.9386,57.74,47,92,8.25,57.74
474,Montepuez,MZ,-13.1256,38.9997,67.5,91,91,4.72,67.5
475,Farafangana,MG,-22.8167,47.8333,67.66,77,0,3.53,67.66
476,Coyhaique,CL,-45.5752,-72.0662,39.15,81,100,0.0,43.41
477,Nizhniy Ingash,RU,56.2,96.53,57.56,66,35,4.74,57.56
478,Mackay,AU,-21.15,149.2,72.68,84,93,19.86,72.68
479,Tongling,CN,30.95,117.7833,59.88,90,100,1.61,59.88
480,Clyde River,CA,70.4692,-68.5914,25.03,93,100,14.97,25.03
481,Puerto del Rosario,ES,28.5004,-13.8627,71.35,68,20,13.8,71.35
482,Sakhipur,BD,24.3,90.1833,75.76,92,98,11.21,75.76
483,Shelburne,CA,44.0787,-80.2041,63.84,58,7,12.08,67.77
484,Maltahöhe,NA,-24.8333,16.9833,47.7,83,18,15.82,47.7
485,Price,US,39.5994,-110.8107,79.86,13,0,16.11,79.86
486,Trelew,AR,-43.249,-65.3051,55.8,29,69,4.9,55.8
487,Piaçabuçu,BR,-10.4056,-36.4344,79.45,87,94,6.67,79.45
488,Sassandra,CI,4.95,-6.0833,78.22,89,100,5.55,78.22
489,Faya,SA,18.3851,42.4509,72.12,16,1,11.1,72.12
490,Prado,BR,-17.3411,-39.2208,69.1,42,83,7.72,69.1
491,Urengoy,RU,65.9667,78.3667,49.77,89,100,9.35,49.77
492,Baculin,PH,7.4525,126.5842,77.5,84,99,2.35,77.5
493,Thai Binh,VN,20.45,106.3333,74.66,90,54,3.29,74.66
494,Poya,NC,-21.35,165.15,76.57,79,3,5.61,76.57
495,Bereda,ES,43.2686,-7.5406,52.63,92,96,2.21,52.63
496,Pāthardi,IN,19.1667,75.1833,87.75,46,100,6.42,87.75
497,Igarka,RU,67.4667,86.5833,34.74,84,100,11.3,34.74
498,Chifeng,CN,42.2683,118.9636,56.88,39,2,5.14,56.88
499,Gornozavodsk,RU,58.3758,58.3211,30.83,95,50,2.95,30.83
500,Witu,KE,-2.3889,40.4382,77.86,82,77,10.47,77.86
501,Jardim,BR,-21.4803,-56.1381,60.06,58,0,3.69,60.06
502,Agadez,NE,19.75,10.25,85.75,20,47,8.03,85.75
503,Tulun,RU,54.5611,100.5792,55.22,80,77,3.4,55.22
504,Ribera,IT,37.4984,13.2642,64.09,77,2,3.85,66.61
505,Alihe,CN,50.5667,123.7167,54.05,53,100,3.62,54.05
506,Warrington,GB,53.3925,-2.5802,57.96,65,20,8.05,59.72
507,Yabrūd,SY,33.9674,36.6574,59.56,34,0,4.29,59.56
508,Bumba,CD,2.1833,22.4667,74.32,85,65,1.88,74.32
509,Tena,EC,-0.9833,-77.8167,73.56,98,100,0.72,73.56
510,Beneditinos,BR,-5.45,-42.3667,76.75,91,97,3.38,76.75
511,‘Āhuimanu,US,21.4447,-157.8378,82.02,72,100,9.22,84.36
512,Vostok,RU,46.4856,135.8833,48.43,92,40,4.09,48.43
513,Province of Mantua,IT,45.1667,10.7833,70.36,60,56,5.08,74.44
514,Zhezkazgan,KZ,47.8043,67.7144,57.22,38,73,5.17,57.22
515,Otavi,NA,-19.65,17.3333,60.78,41,3,3.69,60.78
516,Oistins,BB,13.0667,-59.5333,84.29,70,20,17.27,84.29
517,Guymon,US,36.6828,-101.4816,100.4,13,0,14.97,100.4
518,Otane,NZ,-39.8833,176.6333,61.02,57,2,15.73,61.02
519,Gelemso,ET,8.8167,40.5167,64.0,51,83,6.38,64.0
520,Puerto Escondido,MX,15.85,-97.0667,88.63,70,0,10.36,88.63
521,Ankang,CN,32.68,109.0172,60.44,84,87,1.32,60.44
522,Cleethorpes,GB,53.5605,-0.0323,55.49,88,71,10.36,59.65
523,Butterworth,MY,5.3991,100.3638,80.42,88,20,2.3,82.44
524,Zhigansk,RU,66.7697,123.3711,33.84,78,5,5.17,33.84
525,Coquimbo,CL,-29.9533,-71.3436,64.13,59,0,6.91,64.13
526,Carballo,ES,43.213,-8.691,58.78,89,100,1.45,62.02
527,Daru,PG,-9.0763,143.2092,79.43,76,72,9.26,79.43
528,Mahenge,TZ,-8.6833,36.7167,65.23,65,88,2.51,65.23
529,Barra de Tecoanapa,MX,16.5167,-98.75,87.78,50,18,14.38,87.78
530,Buala,SB,-8.145,159.5921,81.25,76,2,0.72,81.25
531,Lethem,GY,3.3803,-59.7968,79.61,77,100,2.01,79.61
532,Ventspils,LV,57.3894,21.5606,48.13,93,100,2.3,48.13
533,Dubbo,AU,-32.25,148.6167,44.73,81,100,11.5,44.73
534,Sola,VU,-13.8833,167.55,81.81,76,19,15.17,81.81
535,Tambopata,PE,-12.7333,-69.1833,77.92,50,59,1.03,77.92
536,Berlevåg,NO,70.8578,29.0864,35.4,64,100,2.3,35.55
537,Laas,IT,46.6166,10.7002,68.88,92,97,2.84,68.88
538,Pangody,RU,65.85,74.4859,43.27,93,100,18.21,43.27
539,Ibotirama,BR,-12.1853,-43.2206,74.66,37,100,3.56,74.66
540,Impfondo,CG,1.6381,18.0667,74.88,87,99,2.08,74.88
541,Maragogi,BR,-9.0122,-35.2225,80.01,81,94,13.73,80.01
542,Bakchar,RU,57.0186,82.0711,52.38,61,1,11.03,52.38
543,Urazovo,RU,50.0836,38.0395,52.92,70,100,4.43,52.92
544,Jiangyou,CN,31.7667,104.7167,63.73,88,100,1.61,63.73
545,Harper,LR,4.375,-7.7169,79.38,85,99,8.86,79.38
546,Bundaberg,AU,-24.85,152.35,66.22,95,100,4.0,66.22
547,Sibolga,ID,1.7427,98.7792,76.55,88,72,3.09,76.55
548,Gemeente Venray,NL,51.5167,5.9667,61.09,87,0,6.91,63.03
549,Baykit,RU,61.67,96.37,50.29,71,100,4.09,50.29
550,Béjar,ES,40.3864,-5.7634,71.58,47,100,4.27,71.58
551,Tecolutla,MX,20.4833,-97.0167,87.01,64,6,17.92,87.01
552,Maroantsetra,MG,-15.4333,49.7333,72.45,85,90,5.79,72.45
553,Aripuanã,BR,-9.1667,-60.6333,73.69,54,56,1.54,73.69
554,Yining,CN,29.0361,114.5636,61.9,99,100,1.59,61.9
555,Garoowe,SO,8.4054,48.4845,87.6,36,49,19.22,87.6
556,Wagar,SD,16.1525,36.2032,91.83,22,52,9.17,91.83
557,Powassan,CA,46.0334,-79.3496,58.66,68,94,7.7,59.0
558,Steamboat Springs,US,40.485,-106.8317,73.49,21,40,19.57,75.34
559,Richards Bay,ZA,-28.783,32.0377,68.04,78,0,8.5,68.04
560,Vorukh,TJ,39.8494,70.5838,60.94,61,98,2.19,60.94
561,Kenitra,MA,34.261,-6.5802,66.96,83,52,8.48,66.96
562,Port Blair,IN,11.6667,92.75,75.24,88,100,18.95,75.24
563,Nouadhibou,MR,20.931,-17.0347,67.98,83,15,21.85,67.98
564,Oussouye,SN,12.485,-16.5469,84.38,73,10,10.11,84.38
565,Moctezuma,MX,29.8,-109.6667,93.92,11,0,15.01,93.92
566,San Juan de los Lagos,MX,21.25,-102.3,91.04,14,5,5.1,91.04
567,Porangatu,BR,-13.4408,-49.1486,66.65,30,74,4.99,66.65
568,Staryye Atagi,RU,43.1203,45.7406,54.05,95,100,6.69,54.05
569,Ginir,ET,7.1333,40.7,57.06,85,53,5.48,57.06
